country_name,population,ranking,world_share
Czech Republic (Czechia),10708981,86,0.1373785941780162
Greece,10423054,87,0.13371062153920607
Jordan,10203134,88,0.13088941003162852
Portugal,10196709,89,0.13080698786021988
Azerbaijan,10139177,90,0.13006894702512553
Sweden,10099265,91,0.1295569417791705
Honduras,9904607,92,0.12705980013838278
United Arab Emirates,9890402,93,0.12687757337653693
Hungary,9660351,94,0.12392639781938104
Tajikistan,9537645,95,0.12235228187154179
Belarus,9449323,96,0.12121925603136234
Austria,9006398,97,0.11553725754557757
Papua New Guinea,8947024,98,0.11477558688328715
Serbia,8737371,99,0.11208608408136757
Israel,8655535,100,0.11103626294216187
Switzerland,8654622,101,0.11102455065539205
Togo,8278724,102,0.10620239822143704
Sierra Leone,7976983,103,0.1023315579999567
Hong Kong,7496981,104,0.09617392265046489
Laos,7275560,105,0.09333345578424386
Paraguay,7132538,106,0.09149871900615748
Bulgaria,6948445,107,0.08913710892037868
Libya,6871292,108,0.08814736296073822
Lebanon,6825445,109,0.0875592214366026
Nicaragua,6624554,110,0.08498212066828338
Kyrgyzstan,6524195,111,0.08369467993670382
El Salvador,6486205,112,0.08320733078622697
Turkmenistan,6031200,113,0.07737036578984045
Singapore,5850342,114,0.07505025542772031
Denmark,5792202,115,0.07430441495368176
Finland,5540720,116,0.07107831495209656
Congo,5518087,117,0.07078797082672823
Slovakia,5459642,118,0.07003821770486406
Norway,5421241,119,0.06954559610108775
Oman,5106626,120,0.06550960365630551
State of Palestine,5101414,121,0.06544274227772469
Costa Rica,5094118,122,0.06534914661039436
Liberia,5057681,123,0.06488171989294436
Ireland,4937786,124,0.06334366444686847
Central African Republic,4829767,125,0.06195795852727489
New Zealand,4822233,126,0.06186130971180523
Mauritania,4649658,127,0.05964745660194621
Panama,4314767,128,0.05535135646105792
Kuwait,4270571,129,0.05478439454859476
Croatia,4105267,130,0.052663816397227906
Moldova,4033963,131,0.05174910347736473
Georgia,3989167,132,0.051174444552785595
Eritrea,3546421,133,0.045494742342282096
Uruguay,3473730,134,0.044562236496077476
Bosnia and Herzegovina,3280819,135,0.042087505988900806
Mongolia,3278290,136,0.042055063082831946
Armenia,2963243,137,0.0380135287893262
Jamaica,2961167,138,0.037986897127404905
Qatar,2881053,139,0.036959166412972075
Albania,2877797,140,0.036917397293889355
Puerto Rico,2860853,141,0.03670003367173405
Lithuania,2722289,142,0.03492248569366942
Namibia,2540905,143,0.03259562761759427
Gambia,2416668,144,0.031001871460505728
Botswana,2351627,145,0.030167502518779865
Gabon,2225734,146,0.028552502608251217
Lesotho,2142249,147,0.027481527514080104
North Macedonia,2083374,148,0.02672625820019947
Slovenia,2078938,149,0.02666935162395532
Guinea-Bissau,1968001,150,0.025246212568771024
Latvia,1886198,151,0.02419681476523171
Bahrain,1701575,152,0.021828405652083792
Equatorial Guinea,1402985,153,0.017997987572565873
Trinidad and Tobago,1399488,154,0.017953126820283234
Estonia,1326535,155,0.017017259945454635
Timor-Leste,1318445,156,0.016913478565424158
Mauritius,1271768,157,0.016314689507861423
Cyprus,1207359,158,0.015488428085564394
Eswatini,1160164,159,0.01488299394087486
Djibouti,988000,160,0.012674413284315287
Fiji,896445,161,0.011499913377184229
Réunion,895312,162,0.011485378852638551
Comoros,869601,163,0.011155549055115241
